Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV
2019-02-27,4375.0,4462.5,4362.5,4425.0,3918.185302734375,19073600,100.0,50.0,4417.857142857143,4426.785714285715,4466.666666666667,31.339158526403118
2019-02-28,4462.5,4462.5,4362.5,4400.0,3896.048828125,33411200,100.0,-62.5,4412.5,4420.535714285715,4461.309523809524,30.618621784792577
2019-03-01,4412.5,4487.5,4400.0,4487.5,3973.52685546875,26656800,87.5,75.0,4423.214285714285,4417.857142857143,4460.714285714285,41.72614801981591
2019-03-04,4450.0,4500.0,4437.5,4475.0,3962.458740234375,28548200,62.5,25.0,4425.0,4419.642857142857,4457.738095238095,43.898557303554924
2019-03-05,4462.5,4462.5,4362.5,4400.0,3896.048828125,28743600,100.0,-62.5,4430.357142857143,4425.0,4447.023809523809,36.69776819476018
2019-03-06,4375.0,4437.5,4375.0,4400.0,3896.048828125,23339600,62.5,25.0,4430.357142857143,4425.892857142857,4439.285714285715,36.69776819476018
2019-03-08,4375.0,4387.5,4337.5,4337.5,3840.70703125,37957000,50.0,-37.5,4417.857142857143,4422.321428571428,4429.166666666667,50.95808268053612
2019-03-11,4400.0,4400.0,4337.5,4337.5,3840.70703125,14711800,62.5,-62.5,4405.357142857143,4411.607142857143,4419.642857142857,59.0096844352097
2019-03-12,4325.0,4362.5,4300.0,4337.5,3840.70703125,20181600,62.5,12.5,4396.428571428572,4404.464285714285,4412.5,64.43435197381818
2019-03-13,4287.5,4337.5,4262.5,4300.0,3807.50244140625,32738800,75.0,12.5,4369.642857142857,4396.428571428572,4401.785714285715,59.0096844352097
2019-03-14,4362.5,4412.5,4337.5,4412.5,3907.1171875,13382000,75.0,50.0,4360.714285714285,4392.857142857143,4400.0,42.95623464921319
2019-03-15,4462.5,4562.5,4450.0,4537.5,4017.80029296875,34814400,112.5,75.0,4380.357142857143,4405.357142857143,4410.119047619048,79.66634289633475
2019-03-18,4550.0,4675.0,4537.5,4675.0,4139.55224609375,38275600,137.5,125.0,4419.642857142857,4425.0,4423.809523809524,137.6622419443442
2019-03-19,4662.5,4725.0,4650.0,4675.0,4139.55224609375,39436000,75.0,12.5,4467.857142857143,4442.857142857143,4437.5,161.18977280566924
2019-03-20,4687.5,4687.5,4625.0,4650.0,4117.4150390625,23188800,62.5,-37.5,4512.5,4458.928571428572,4445.238095238095,162.3396644898195
2019-03-21,4725.0,4775.0,4712.5,4762.5,4217.0302734375,38604000,62.5,37.5,4573.214285714285,4484.821428571428,4460.714285714285,165.42693682883694
2019-03-22,4775.0,4825.0,4762.5,4800.0,4250.23486328125,33572000,62.5,25.0,4644.642857142857,4507.142857142857,4479.166666666667,132.45619221895015
2019-03-25,4650.0,4725.0,4575.0,4600.0,4073.142333984375,26670200,150.0,-50.0,4671.428571428572,4516.071428571428,4485.714285714285,89.76656233969499
2019-03-26,4687.5,4700.0,4662.5,4687.5,4150.61962890625,6754600,37.5,0.0,4692.857142857143,4536.607142857143,4501.190476190476,67.64534616027541
2019-03-27,4575.0,4687.5,4575.0,4675.0,4139.55224609375,7113800,112.5,100.0,4692.857142857143,4556.25,4514.285714285715,67.64534616027541
2019-03-28,4712.5,4725.0,4675.0,4712.5,4172.7568359375,22824600,50.0,0.0,4698.214285714285,4583.035714285715,4527.976190476191,67.48015581318742
2019-03-29,4687.5,4725.0,4687.5,4700.0,4161.6884765625,19813600,37.5,12.5,4705.357142857143,4608.928571428572,4541.071428571428,64.08699444617037
2019-04-01,4712.5,4750.0,4712.5,4725.0,4183.8251953125,9954200,37.5,12.5,4700.0,4636.607142857143,4556.547619047619,59.94789404141426
2019-04-02,4750.0,4762.5,4700.0,4737.5,4194.8935546875,22445400,62.5,-12.5,4691.071428571428,4667.857142857143,4568.452380952381,45.48024165451441
2019-04-04,4762.5,4862.5,4762.5,4850.0,4294.50830078125,48871200,100.0,87.5,4726.785714285715,4699.107142857143,4586.309523809524,58.375834856888225
2019-04-05,4875.0,4925.0,4825.0,4862.5,4305.57666015625,11966400,100.0,-12.5,4751.785714285715,4722.321428571428,4608.333333333333,74.10176400445533
2019-04-08,4800.0,4825.0,4712.5,4737.5,4194.8935546875,17860200,112.5,-62.5,4760.714285714285,4726.785714285715,4624.4047619047615,66.70385867328304
2019-04-09,4825.0,4850.0,4775.0,4837.5,4283.43994140625,14496600,75.0,12.5,4778.571428571428,4738.392857142857,4648.214285714285,68.35655819026857
2019-04-10,4837.5,4875.0,4800.0,4850.0,4294.50830078125,17295200,75.0,12.5,4800.0,4752.678571428572,4672.619047619048,62.91528696059338
2019-04-11,4900.0,4900.0,4750.0,4812.5,4261.30322265625,31259200,150.0,-87.5,4812.5,4756.25,4695.238095238095,53.521802411108936
2019-04-12,4775.0,4837.5,4750.0,4837.5,4283.43994140625,19171400,87.5,62.5,4826.785714285715,4758.928571428572,4720.833333333333,42.345658123415525
2019-04-15,4825.0,4850.0,4812.5,4825.0,4272.37158203125,22821200,37.5,0.0,4823.214285714285,4775.0,4740.476190476191,41.0973003400287
2019-04-16,4825.0,4875.0,4825.0,4850.0,4294.50830078125,43281000,50.0,25.0,4821.428571428572,4786.607142857143,4755.357142857143,39.33978962347765
